"","country","X2003","X2004","X2005","X2006","X2007","X2008","add"
"1","Azerbaijan",0,0,0,8,0,0,8
"2","Bangladesh",0,0,0,0,0,1,1
"3","Cambodia",0,0,4,2,1,0,7
"4","China",1,0,8,13,5,3,30
"5","Djibouti",0,0,0,1,0,0,1
"6","Egypt",0,0,0,18,25,7,50
"7","Indonesia?",0,0,20,55,42,18,135
"8","Iraq",0,0,0,3,0,0,3
"9","Lao People's Democratic Republic",0,0,0,0,2,0,2
"10","Myanmar",0,0,0,0,1,0,1
"11","Nigeria",0,0,0,0,1,0,1
"12","Pakistan",0,0,0,0,3,0,3
"13","Thailand",0,17,5,3,0,0,25
"14","Turkey",0,0,0,12,0,0,12
"15","VietNam",3,29,61,0,8,5,106
"nbr.val",NA,15,15,15,15,15,15,15
"nbr.null",NA,13,13,10,6,6,10,0
"nbr.na",NA,0,0,0,0,0,0,0
"min",NA,0,0,0,0,0,0,1
"max",NA,3,29,61,55,42,18,135
"range",NA,3,29,61,55,42,18,134
"sum",NA,4,46,98,115,88,34,385
"median",NA,0,0,0,2,1,0,7
"mean",NA,0.266666666666667,3.06666666666667,6.53333333333333,7.66666666666667,5.86666666666667,2.26666666666667,25.6666666666667
"SE.mean",NA,0.206251503121026,2.17007058622671,4.13218109899852,3.69512763703343,3.06883980972904,1.25533780946525,10.6653272968628
"CI.mean",NA,0.442365478257014,4.65433850518104,8.86264701319759,7.92526056606647,6.58200677125905,2.69243182258097,22.8748520085977
"var",NA,0.638095238095238,70.6380952380952,256.12380952381,204.809523809524,141.266666666667,23.6380952380952,1706.2380952381
"std.dev",NA,0.79880863671798,8.40464724055063,16.0038685799343,14.3111678003412,11.8855654752589,4.86190242992342,41.3066350026009
"coef.var",NA,2.99553238769243,2.74064583930999,2.44957172141852,1.86667406091407,2.0259486605555,2.14495695437798,1.60934941568575
